問題ID,問題,勘定科目,正解仕訳
01,"期末商品棚卸高：　　￥760,000",仕入|繰越商品,仕入:647000|繰越商品:760000;繰越商品:647000|仕入:760000
01,"貸倒見積高：　　　　受取手形と売掛金の期末残高に対して、それぞれ2％と見積もり、貸倒引当金を設定する。",貸倒引当金|貸倒引当金繰入,貸倒引当金繰入:74000;貸倒引当金:74000
01,"備品減価償却高：　　￥450,000",備品|備品減価償却累計額|減価償却費,減価償却費:450000;備品減価償却累計額:450000
01,"有価証券評価高：　　有価証券は、売買目的で保有している次の株式であり、時価によって評価する。|　　　　　　　　　　　　3,200株　　時価　1株　　 ￥570",有価証券|有価証券評価益|有価証券評価損,有価証券:96000;有価証券評価益:96000
01,"保険料前払高：　　　保険料のうち ￥108,000は、本年6月1日からの1年分を支払ったものであり、前払高を次期に繰り延べる。",前払保険料|保険料,前払保険料:45000;保険料:45000
01,"地代前受高：　　　　￥13,000",前受地代|受取地代|支払地代,受取地代:13000;前受地代:13000
01,"利息未払高：　　　　借入金に対する利息の経過分 ￥7,000を計上する。",未払利息|受取利息|支払利息,支払利息:7000;未払利息:7000
01,"消費税の納付額：　　消費税について納付額を計上する。",仮払消費税|仮受消費税|未払消費税,仮受消費税:2376500;仮払消費税:1806700|未払消費税:569800

02,"付記事項：　　　　　さきに、仮受金勘定で処理していた ￥610,000について、本日、その金額は、得意先に対する売掛金の回収額であることがわかった。",売掛金|仮受金,仮受金:610000;売掛金:610000
02,"期末商品棚卸高：　　￥114,000",仕入|繰越商品,仕入:153000|繰越商品:153000;繰越商品:114000|仕入:114000
02,"貸倒見積高：　　　　受取手形と売掛金の期末残高に対して、それぞれ1％と見積もり、貸倒引当金を設定する。",貸倒引当金|貸倒引当金繰入,貸倒引当金繰入:19300;貸倒引当金:19300
02,"減価償却高：　　　　建物：定額法による。ただし、残存価額はゼロ　耐用年数は50年とする。|　　　　　　　　　　備品：定率法による。ただし、毎期の償却率は20％とする。",建物|備品|備品減価償却累計額|減価償却費,減価償却費:191600;備品減価償却累計額:191600
02,"有価証券評価高：　　有価証券は、売買目的で保有している次の株式であり、時価によって評価する。|　　　　　　　　　　　　1,200株　　時価　1株　　 ￥1,320",有価証券|有価証券評価益|有価証券評価損,有価証券:42000;有価証券評価益:42000
02,"保険料前払高：　　　保険料のうち ￥216,000は、本年4月1日からの1年分を支払ったものであり、前払高を次期に繰り延べる。",前払保険料|保険料,前払保険料:54000;保険料:54000
02,"地代前受高：　　　　￥60,000",前受地代|受取地代|支払地代,受取地代:60000;前受地代:60000
02,"利息未払高：　　　　￥ 3,600",未払利息|受取利息|支払利息,支払利息:3600;未払利息:3600
02,"消費税の納付額：　　消費税について納付額を計上する。",仮払消費税|仮受消費税|未払消費税,仮受消費税:331700;仮払消費税:197600|未払消費税:134100
